Ethereum,Ethereum,Ethereum
Date,Price,Volume
8/16/2016,10.77,2530514
8/17/2016,10.77,1436468
8/18/2016,10.71,977152
8/19/2016,11.28,1576304
8/20/2016,11.14,548398
8/21/2016,11.07,1196884
8/22/2016,11.01,1117682
8/23/2016,11.01,739274
8/24/2016,11.35,1230358
8/25/2016,11.26,847110
8/26/2016,11.19,485209
8/27/2016,10.99,793760
8/28/2016,10.95,1106816
8/29/2016,11.21,967365
8/30/2016,11.55,1283480
8/31/2016,12.21,3084388
9/1/2016,12.08,1731750
9/2/2016,11.85,1552172
9/3/2016,11.71,912660
9/4/2016,11.75,508640
9/5/2016,11.7,870183
9/6/2016,11.59,704039
9/7/2016,11.39,1182869
9/8/2016,11.72,1395640
9/9/2016,12.05,1011883
9/10/2016,11.64,1253034
9/11/2016,11.89,724255
9/12/2016,11.92,3108044
9/13/2016,11.97,1189503
9/14/2016,11.96,1642142
9/15/2016,12.61,2298783
9/16/2016,12.83,874551
9/17/2016,12.39,2999604
9/18/2016,12.93,1570880
9/19/2016,14.72,4649566
9/20/2016,13.72,3597165
9/21/2016,13.11,3037294
9/22/2016,13.36,1001985
9/23/2016,12.91,1202185
9/24/2016,13.05,565459
9/25/2016,12.89,783983
9/26/2016,13.09,1086159
9/27/2016,13.3,1122919
9/28/2016,13.17,878164
9/29/2016,13.24,889551
9/30/2016,13.21,824667
10/1/2016,13.23,631029
10/2/2016,13.45,922433
10/3/2016,13.32,1307651
10/4/2016,13.09,1087377
10/5/2016,12.87,1424912
10/6/2016,12.68,1313504
10/7/2016,12.24,1494626
10/8/2016,12.06,1339556
10/9/2016,11.74,2039638
10/10/2016,11.75,1355534
10/11/2016,11.77,1348844
10/12/2016,12.02,1210242
10/13/2016,11.9,794319
10/14/2016,11.96,625037
10/15/2016,11.93,425194
10/16/2016,11.98,921893
10/17/2016,12.5,2086531
10/18/2016,11.98,1413674
10/19/2016,12.05,884658
10/20/2016,12.07,396002
10/21/2016,12.06,577127
10/22/2016,11.95,500515
10/23/2016,11.93,676684
10/24/2016,11.38,2217209
10/25/2016,11.5,906595
