Bitcoin,Bitcoin,Bitcoin
Date,Price,Volume
12/23/2013,702.75,7647250
12/24/2013,707.25,3721814
12/25/2013,801.97998,18209291
12/26/2013,803.049988,11073604
12/27/2013,761.98999,10127883
12/28/2013,784.960022,5448579
12/29/2013,804.830017,8411786
12/30/2013,805.940002,7294004
12/31/2013,815.940002,8663855
1/1/2014,856.909973,10826907
1/2/2014,884.26001,8409629
1/3/2014,924.690002,12784626
1/4/2014,1014.73999,20789364
1/5/2014,1012.650024,23622237
1/6/2014,879.900024,21753921
1/7/2014,938.840027,12942254
1/8/2014,936.950012,13202619
1/9/2014,957.76001,5909107
1/10/2014,1005.320007,10948175
1/11/2014,939.789978,9620090
1/12/2014,922.909973,9220891
1/13/2014,919.280029,3960633
1/14/2014,941.219971,6448062
1/15/2014,913.48999,4720008
1/16/2014,894.159973,9203107
1/17/2014,905.719971,5493742
1/18/2014,954.799988,7071649
1/19/2014,955.950012,9981282
1/20/2014,962.210022,6289022
1/21/2014,950.950012,4503428
1/22/2014,944.159973,1839615
1/23/2014,916.549988,5684047
1/24/2014,961.049988,7797108
1/25/2014,1007,13054605
1/26/2014,943.539978,8052715
1/27/2014,932.679993,9757613
1/28/2014,925.669983,5254878
1/29/2014,941.390015,5026461
1/30/2014,938.849976,4024749
1/31/2014,940.419983,4118865
2/1/2014,953.309998,1495327
2/2/2014,931.710022,2601784
2/3/2014,926.640015,4250751
2/4/2014,904.52002,6865987
2/5/2014,828.869995,15719958
2/6/2014,695.650024,36412212
2/7/2014,648.780029,15503790
2/8/2014,659.570007,13186251
2/9/2014,582.630005,24334044
2/10/2014,578.960022,9621820
2/11/2014,531.130005,11628634
2/12/2014,451.440002,14394464
2/13/2014,427.679993,25084223
2/14/2014,371.070007,18299075
2/15/2014,299.799988,26267622
2/16/2014,272.279999,16532226
2/17/2014,293.950012,14130126
2/18/2014,261.529999,8618299
2/19/2014,111.919998,16608347
2/20/2014,111.559998,10115923
2/21/2014,255.589996,11838225
2/22/2014,310.170013,11158706
2/23/2014,174,17929284
2/24/2014,135.779999,3993023
2/25/2014,593.140015,383571
2/26/2014,596.48999,322887
2/27/2014,573.940002,321170
2/28/2014,557.390015,250331
3/1/2014,544.559998,469498
3/2/2014,662.179993,794976
3/3/2014,661.849976,947328
3/4/2014,658.299988,855787
3/5/2014,648.26001,1367401
3/6/2014,616.72998,1498290
3/7/2014,609.210022,1335982
3/8/2014,627.049988,1209993
3/9/2014,612.969971,1648979
3/10/2014,608.690002,1520733
3/11/2014,619.429993,2022394
3/12/2014,625.039978,2168407
3/13/2014,614.030029,2514218
3/14/2014,624.030029,2168732
3/15/2014,619.140015,2055390
3/16/2014,606.380005,2227123
3/17/2014,598.929993,2234320
3/18/2014,594.960022,2164735
3/19/2014,565.98999,2471474
3/20/2014,549.599976,2173864
3/21/2014,564.340027,2078360
3/22/2014,551.159973,2286135
3/23/2014,567.559998,2024402
3/24/2014,562.890015,2172190
3/25/2014,562.450012,2087611
3/26/2014,460.450012,2010894
3/27/2014,482.609985,2022261
3/28/2014,477.109985,2087784
3/29/2014,446.920013,1769770
3/30/2014,444.660004,1850592
3/31/2014,463.450012,1845836
4/1/2014,424.369995,2004152
4/2/2014,436.309998,1708540
4/3/2014,444.359985,1127311
4/4/2014,456.630005,529964
4/5/2014,455.690002,1644846
4/6/2014,462.380005,1847982
4/7/2014,466.559998,1839605
4/8/2014,457.339996,1809262
4/9/2014,384.630005,1547153
4/10/2014,435.140015,2175242
4/11/2014,437.649994,2293511
4/12/2014,427.600006,2143146
4/13/2014,478.380005,3546258
4/14/2014,526.429993,3945871
4/15/2014,536.950012,4192651
4/16/2014,502,4097576
4/17/2014,485.519989,4112826
4/18/2014,506.019989,4154929
4/19/2014,498.51001,3879198
4/20/2014,495.160004,3688692
4/21/2014,487.910004,2824567
4/22/2014,487.299988,2340457
4/23/2014,500.290009,2075376
4/24/2014,464.48999,3000226
4/25/2014,457.869995,3157540
4/26/2014,443.179993,3154922
4/27/2014,441.920013,2004954
4/28/2014,446.119995,1670352
4/29/2014,445.630005,1831533
4/30/2014,460.130005,1915772
5/1/2014,453.670013,1532239
5/2/2014,438.649994,1143291
5/3/2014,436.049988,1470650
5/4/2014,430.869995,1328247
5/5/2014,432.190002,1809731
5/6/2014,446.549988,2209759
5/7/2014,441.109985,1134338
5/8/2014,445.450012,1013830
5/9/2014,451.899994,210112
5/10/2014,433.230011,845213
5/11/2014,438.209991,610287
5/12/2014,433.920013,1164049
5/13/2014,442.630005,978031
5/14/2014,448.100006,989003
5/15/2014,453.630005,799913
5/16/2014,452.790009,776390
5/17/2014,450.140015,653912
5/18/2014,443.899994,602742
5/19/2014,484.570007,883359
5/20/2014,488.839996,689104
5/21/2014,515.359985,1589075
5/22/2014,518.090027,1457339
5/23/2014,520.460022,1492790
5/24/2014,570.440002,1037758
5/25/2014,582.01001,1712997
5/26/2014,570.099976,1947436
5/27/2014,570.840027,2054559
5/28/2014,564.419983,2121556
5/29/2014,612.349976,3688564
5/30/2014,627.909973,2738340
5/31/2014,649.789978,2322782
6/1/2014,655.48999,2650871
6/2/2014,669.429993,2883100
6/3/2014,638.929993,3601867
6/4/2014,660.179993,1825395
6/5/2014,650.409973,3978265
6/6/2014,651.669983,1298892
6/7/2014,651.049988,2167689
6/8/2014,644.349976,2126014
6/9/2014,655.619995,2340867
6/10/2014,642.950012,2491455
6/11/2014,597.130005,2928622
6/12/2014,610.349976,4612164
6/13/2014,583.419983,2985483
6/14/2014,582.289978,2272289
6/15/2014,599.080017,2403694
6/16/2014,605.090027,1820590
6/17/2014,606.210022,2037434
6/18/2014,600.169983,3433287
6/19/2014,590.75,1312852
6/20/2014,597.039978,1373722
